index,sink,source,raw_filepath,function
121,"""/pages/index/webView/webView?param="" + JSON.stringify(i)_#T2$toPrivacy","{
                            url: encodeURIComponent(t)
                        };
                        ",{'E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/index.js'},toPrivacy
55,"""/pages/manage/video/videoDetail?param="" + JSON.stringify(i)_#T3$toListItem","{
                            _id: this.list.data[t]._id
                        };
                        ",{'E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/manage/video/video.js'},toListItem
48,"""/pages/index/info/infoDetail/infoDetail?param="" + JSON.stringify(i)_#T3$toListItem","{
                            _id: this.list.data[a]._id
                        };
                        ",{'E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/info/info.js'},toListItem
108,"""/pages/index/webView/webView?param="" + JSON.stringify(t)_#T2$toAgreement","{
                            url: encodeURIComponent(n)
                        };
                        ","{'E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/person/login.js', 'E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/person/person.js'}",toAgreement
158,"""/pages/index/deviceAddBlue/deviceAddBlue?param="" + JSON.stringify({
                                code: """"
                            })
                        });
_#T1$toDeviceAdd","{
                                code: """"
                            })
                        });
",{'E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/index.js'},toDeviceAdd
179,"""/pages/index/deviceAuth/deviceAuth?param="" + JSON.stringify(t)_#T3$toAuthManage","{
                            _id: this.param._id
                        };
                        ",{'E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceDetail/deviceDetail.js'},toAuthManage
118,"""/pages/index/order/orderList?param="" + JSON.stringify(t)_#T3$toOrderList","{
                            status: n
                        };
                        ",{'E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/person/person.js'},toOrderList
34,"""/pages/index/deviceAuthTempDetail/deviceAuthTempDetail?param="" + encodeURIComponent(JSON.stringify(n))_#T3$toListItem",this.tabs.data[this.tabs.index].list,"{'E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceUseRecord/deviceUseRecord.js', 'E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/record/record.js', 'E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceAuth/deviceAuth.js'}",toListItem
130,"""/pages/shop/orderDetail/orderDetail?param="" + JSON.stringify(i)_#T3$toListItem",this.list.tab[this.list.index].data,{'E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/shop/order/order.js'},toListItem
178,"""/pages/index/deviceUpdate/deviceUpdate?param="" + JSON.stringify(t)_#T2$toDeviceUpdate",this.blue.device.versionFinger,{'E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceDetail/deviceDetail.js'},toDeviceUpdate
100,"""/pages/index/deviceUseRecord/deviceUseRecord?param="" + JSON.stringify(t)_#T2$toUseRecord",this.blue.device.user._id,{'E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceMFDetail/deviceMFDetail.js'},toUseRecord
136,"""/pages/shop/goodsDetail/goodsDetail?_id="" + e._id_#T3$toListItem",this.list.data,{'E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/shop/shop.js'},toListItem
10,"""/pages/friend/friendDetail/friendDetail?param="" + encodeURIComponent(JSON.stringify(i))_#T3$toListItem",this.list.data,{'E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/friend/friend.js'},toListItem
0,may not url:i_#T3$imgTap,this.childs,{'E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/components/mp-html/node/node.js'},imgTap
2,may not url:i_#T1$linkTap,this.childs,{'E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/components/mp-html/node/node.js'},linkTap
159,"""/pages/index/deviceDetail/deviceDetail?param="" + JSON.stringify(n)_#T3$toStartApp",this.param,{'E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/index.js'},toStartApp
133,"""/pages/person/feedbackReversion/feedbackReversion?param="" + JSON.stringify(r)_#T3$toStartApp",this.param,{'E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/index.js'},toStartApp
139,"may not url:t.path.wx + ""?_id="" + t.goods_#T1$toSelectSwiper",t.path.wx,{'E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/index.js'},toSelectSwiper
147,"""/pages/index/deviceMFDetail/deviceMFDetail?isOne=1&_id="" + t.device_#T1$getAuthOne",t.device,{'E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/index.js'},getAuthOne
4,may not url:i_#T2$linkTap,e.attrs,{'E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/components/mp-html/node/node.js'},linkTap
160,"""/pages/index/deviceDetail/deviceDetail?param="" + JSON.stringify(n)_#T1$shareIn",t.param,{'E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/index.js'},shareIn
6,"""/pages/index/deviceAuthHandel/deviceAuthHandel?param="" + JSON.stringify(o)_#T3$authAsk",t.data,{'E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/common/main.js'},authAsk
142,may not url:t.path_#T1$toSelectSwiper,t.path,{'E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/index.js'},toSelectSwiper
111,may not url:t.page_#T1$toSelectMenu,t.page,{'E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/person/setting/setting.js'},toSelectMenu
116,may not url:n.page_#T1$toSelectMenu,n.page,{'E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/person/person.js'},toSelectMenu
1,may not url:i_#T1$imgTap,e.a,{'E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/components/mp-html/node/node.js'},imgTap
211,"may not url:e + ""?param="" + JSON.stringify(n || {})_#T2$toPage",{},{'E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/common/vendor.js'},toPage
