"sink_loc","source_loc","block_name","source_func"
"E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceAddBlue/deviceAddBlue.js|375:42:375:108","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceAddBlue/deviceAddBlue.js|371:41:373:33","entry node of functio ...       }","toBindDevice"
"E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceAddBlue/deviceAddBlue.js|375:42:375:108","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceAddBlue/deviceAddBlue.js|372:42:372:52","entry node of functio ...       }","toBindDevice"
"E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceAddBlue/deviceAddBlue.js|375:42:375:108","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceAddBlue/deviceAddBlue.js|372:42:372:47","entry node of functio ...       }","toBindDevice"
"E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/info/info.js|108:34:108:101","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/info/info.js|104:33:106:25","entry node of functio ...       }","toListItem"
"E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/info/info.js|108:34:108:101","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/info/info.js|105:34:105:54","entry node of functio ...       }","toListItem"
"E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/info/info.js|108:34:108:101","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/info/info.js|105:34:105:47","entry node of functio ...       }","toListItem"
"E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/info/info.js|108:34:108:101","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/info/info.js|105:34:105:42","entry node of functio ...       }","toListItem"
"E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceAuth/deviceAuth.js|314:34:314:124","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceAuth/deviceAuth.js|309:33:312:25","entry node of functio ...       }","toAddAuthView"
"E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceAuth/deviceAuth.js|314:34:314:124","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceAuth/deviceAuth.js|310:34:310:47","entry node of functio ...       }","toAddAuthView"
"E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceAuth/deviceAuth.js|314:34:314:124","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceAuth/deviceAuth.js|310:34:310:43","entry node of functio ...       }","toAddAuthView"
